"VFID","VF_Name","VFcategory","arm","scenario","cases","n","prevalence","HR","lo","hi","p","HR_perSD","lo_perSD","hi_perSD","ph_term","ph_global","FDR"
"VF0144","Capsule","Immune modulation","abundance","adjusted",43,1699,0.307022318998367,0.454481190222575,0.210100206526438,0.983117321401283,0.0451501731782299,0.675938995651287,0.460773517091869,0.99157939615478,0.670810417820542,0.577172926217535,0.0595982285952635
"VF0564","Ybt","Nutritional/Metabolic factor","abundance","adjusted",43,1699,0.20141535111595,1.42294944812831,0.9944578582707,2.03606931665222,0.0536567006359615,1.28503944011163,0.996056419442087,1.65786428400045,0.549030248332525,0.560276300154658,0.0681027354225665
"VF0506","FdeC","Adherence","abundance","adjusted",43,1699,0.180185084376701,1.69221340152392,0.974735946177392,2.93780711332873,0.0616116728166086,1.27184013077118,0.988370929150503,1.63660956684587,0.475980120463247,0.556653577033843,0.0753031556647438
"VF0230","Salmochelin siderophore","Nutritional/Metabolic factor","abundance","adjusted",43,1699,0.129014697876973,1.46812491504355,0.943720150693396,2.28393000254151,0.0885523595014659,1.22622891521901,0.969702862460674,1.55061659682393,0.0615858309573618,0.398676503333929,0.104365280841013
"VF0579","T6SS","Effector delivery system","abundance","adjusted",43,1699,0.193794229722373,1.24894380396647,0.816619437230355,1.9101438863085,0.305138689930446,1.15070860251818,0.879917180628513,1.50483513341964,0.538782668534129,0.57847247140854,0.347226785093266
"VF0225","<alpha>-Hemolysin","Exotoxin","abundance","adjusted",43,1699,0.0626020685900925,1.38279067270276,0.716051559265739,2.67035246243228,0.334415315139094,1.12399629584882,0.886511875847852,1.42509954745231,0.346041240199257,0.556968379264748,0.367856846653003
"VF0573","Colibactin","Exotoxin","abundance","adjusted",43,1699,0.151878062057703,0.804120007665638,0.442829970937878,1.46017439912371,0.473831555375908,0.870001072403916,0.594318506346196,1.27356267372072,0.967159060759072,0.617077223866424,0.504401333142095
"VF0222","S fimbriae","Adherence","abundance","adjusted",43,1699,0.131192161132281,0.9254217462787,0.430633364768735,1.98871122990073,0.842592356817816,0.966473378202549,0.690258913759136,1.35321800581657,0.803779796526074,0.608268788175526,0.865174700816481
"VF0224","F1C fimbriae","Adherence","abundance","adjusted",43,1699,0.0876428960261296,0.930591050856054,0.405623532332606,2.13498388259995,0.865174700816481,0.970411623363669,0.686089677958954,1.37255922806005,0.899725847188336,0.615921221583069,0.865174700816481
"VF0394","Flagella","Motility","abundance","base",47,1837,0.189983669025585,2.08774777601945,1.45712542119585,2.99129416923974,6.02548879518987e-05,1.52411029075671,1.24051598620863,1.87253707668046,0.415639487438561,0.411485289799152,0.00198841130241266
"VF0333","T2SS","Effector delivery system","abundance","base",47,1837,0.369080021774633,1.74707714081965,1.29493444300809,2.35709116585411,0.000260698327696246,1.59631708501258,1.24191592071091,2.05185245909753,0.532788996612283,0.401230950827438,0.00430152240698806
"VF0568","AcrAB","Antimicrobial activity/Competitive advantage","abundance","base",47,1837,0.188894937397931,2.12161568129665,1.37826632146352,3.26588049713365,0.000631318547600473,1.48009254412529,1.18204308473488,1.8532944927863,0.51452399635997,0.433410914257105,0.00528078550153746
"VF0227","Chu","Nutritional/Metabolic factor","abundance","base",47,1837,0.272182906913446,1.73295176321595,1.25438599785305,2.39409704729905,0.000854379732522798,1.48651751457399,1.17752719871107,1.87658877311201,0.786159534675403,0.431005094472043,0.00528078550153746
"VF0571","RcsAB","Regulation","abundance","base",47,1837,0.225367446924333,2.21149703914231,1.37993137481053,3.54417563323154,0.000972751960431689,1.48035206625797,1.17253576241187,1.8689768878064,0.586627586271048,0.446840285527472,0.00528078550153746
"VF1138","Curli fibers","Adherence","abundance","base",47,1837,0.323897659227001,1.79370015262723,1.2617320352857,2.54995525797711,0.00113282765822409,1.50283477320044,1.17596129264194,1.92056691803724,0.295094881208826,0.367759139141166,0.00528078550153746
"VF0213","Adhesive fimbriae","Adherence","abundance","base",47,1837,0.0930865541643985,2.13119149987147,1.3423688568177,3.38355377216652,0.00133448430726403,1.38473987729588,1.13503292085999,1.68938230119401,0.275213637383899,0.386030091545786,0.00528078550153746
"VF0404","ECP","Adherence","abundance","base",47,1837,0.337506804572673,1.69334437218821,1.22743449565468,2.33610442999004,0.00133553439575156,1.49593534792012,1.16964383108242,1.91325128700585,0.687124281152166,0.415889353126174,0.00528078550153746
"VF0228","Enterobactin","Nutritional/Metabolic factor","abundance","base",47,1837,0.348938486663038,1.56111535254096,1.18596029120077,2.05494329112112,0.00149192339246454,1.50101415001746,1.16826477031909,1.92853840652686,0.535724858423117,0.417703232891208,0.00528078550153746
"VF0112","RpoS","Regulation","abundance","base",47,1837,0.246053347849755,2.03387139234537,1.30395936080474,3.17236331510207,0.00174689161867831,1.45988735703612,1.15193867653437,1.8501602026645,0.827772098550929,0.449811463545567,0.00528078550153746
"VF0560","Capsule","Immune modulation","abundance","base",47,1837,0.22591181273816,1.83842150319427,1.25528373810165,2.69245392162755,0.00176026183384582,1.44423906764082,1.14711799374561,1.81831903594269,0.277401477069249,0.360366514254255,0.00528078550153746
"VF0111","PhoPQ","Regulation","abundance","base",47,1837,0.193249863908547,2.02971537106773,1.25744540921248,3.27628098791879,0.00375865319016389,1.40325410169429,1.11587310528954,1.76464695186907,0.857972720875603,0.458384142362136,0.0103362962729507
"VF0565","Aerobactin","Nutritional/Metabolic factor","abundance","base",47,1837,0.0658682634730539,2.35357865854042,1.28289991777722,4.31782123077418,0.00569814823597966,1.29067877621793,1.07709489143149,1.54661554579045,0.160857325188694,0.283064573405522,0.0144645301374868
"VF0572","Allantion utilization","Nutritional/Metabolic factor","abundance","base",47,1837,0.142079477408819,1.96093022412557,1.19070183142035,3.2293956744001,0.00815101078368286,1.35664492731245,1.08226547453917,1.70058594873527,0.964890767040554,0.442214437906347,0.0187004951821071
"VF0256","Shu","Nutritional/Metabolic factor","abundance","base",47,1837,0.152966793685357,2.03512553734499,1.19880318999511,3.45489233538878,0.00850022508277597,1.34728880775176,1.07903727500211,1.68222838408397,0.725491324136888,0.4282149669305,0.0187004951821071
"VF0221","Type 1 fimbriae","Adherence","abundance","base",47,1837,0.39412084921067,1.50684507215682,1.09984308880257,2.06446000761375,0.0106973025217498,1.39850265669309,1.08095913281205,1.80932805081141,0.832912551634532,0.433501263962859,0.0220631864511089
"VF1110","TTSS secreted effectors","Effector delivery system","abundance","base",47,1837,0.0832879695155144,1.85015858538358,1.12750080916707,3.03599497511431,0.0148955583765581,1.29578334585402,1.05183713184604,1.59630652746191,0.166474949889468,0.330369753539069,0.0289149074368482
